,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
1197,7.0,,,,10.0,1.0,,,2.0,7.0,9.0
1201,4.0,,,,18.0,,,,2.0,19.0,7.0
1202,34.0,,,,96.0,6.0,2.0,,7.0,65.0,105.0
1206,1.0,,,,3.0,,,,,4.0,9.0
1211,1.0,,,,5.0,,,,,5.0,7.0
1213,3.0,,,,13.0,,3.0,2.0,,10.0,8.0
1222,2.0,,,,18.0,,,,,20.0,8.0
1228,2.0,,,,3.0,,,,,3.0,3.0
1229,9.0,,,,16.0,3.0,,,3.0,15.0,3.0
1236,3.0,,,,11.0,,,,2.0,12.0,3.0
1239,1.0,,,,3.0,,,,,2.0,1.0
1256,6.0,,,,11.0,1.0,1.0,,5.0,12.0,17.0
1257,1.0,,,,17.0,,,,1.0,15.0,29.0
1273,1.0,1.0,,,4.0,,1.0,,,6.0,2.0
1279,1.0,,,,5.0,,2.0,,,4.0,
1287,6.0,3.0,,,15.0,,10.0,,,18.0,18.0
1289,1.0,,,,4.0,1.0,,,,6.0,5.0
1293,4.0,,,,6.0,,,,,6.0,10.0
1295,3.0,,,,9.0,,,,,9.0,13.0
1296,4.0,,,,8.0,2.0,,,,6.0,2.0
1298,2.0,,,,13.0,3.0,,,,13.0,10.0
1299,6.0,,,,12.0,,3.0,,,13.0,12.0
1305,5.0,,,,7.0,,,,,7.0,8.0
1308,3.0,,,,20.0,,2.0,,1.0,19.0,28.0
1310,1.0,,,,5.0,,4.0,,,4.0,8.0
1311,6.0,1.0,,,16.0,,2.0,,,22.0,6.0
1312,2.0,,,,11.0,,,,,11.0,12.0
1319,6.0,,,,8.0,3.0,1.0,,2.0,9.0,16.0
1322,1.0,1.0,,,9.0,,198.0,1.0,1.0,9.0,6.0
1323,4.0,,,,18.0,,,,,21.0,15.0
1326,2.0,,,,6.0,,,,,5.0,9.0
1339,4.0,,,,11.0,2.0,2.0,,2.0,9.0,13.0
1340,9.0,,,,22.0,,,,,19.0,23.0
1341,3.0,,,,3.0,,,,,3.0,2.0
1345,11.0,1.0,,,15.0,5.0,2.0,,1.0,17.0,6.0
1350,2.0,,,,10.0,,1.0,,1.0,10.0,6.0
1355,8.0,,,,18.0,,,,,12.0,6.0
1369,2.0,,,,10.0,,,,,10.0,3.0
1370,2.0,,,,3.0,,1.0,,2.0,3.0,5.0
1374,1.0,,,,8.0,,4.0,,1.0,11.0,12.0
1381,1.0,1.0,,,14.0,,1.0,,2.0,12.0,13.0
1385,3.0,,,,10.0,,,,,12.0,13.0
1386,1.0,,,,3.0,,,,,5.0,1.0
1402,2.0,,,,6.0,,,,1.0,8.0,13.0
1412,,,,,4.0,2.0,,,,3.0,3.0
1426,6.0,,,,22.0,,,,,21.0,35.0
1434,4.0,,,,9.0,4.0,,,,8.0,3.0
1439,3.0,,,,14.0,,,,,14.0,5.0
1440,,,,,1.0,,,,,3.0,6.0
1457,2.0,,,,5.0,,,,,6.0,
1460,2.0,,,,9.0,,,,,8.0,4.0
1462,5.0,,,,14.0,,2.0,,,12.0,18.0
1465,3.0,,,,4.0,,1.0,,,6.0,11.0
1473,1.0,,,,4.0,,1.0,,,6.0,9.0
1479,2.0,,,,9.0,,,,,10.0,3.0
1481,3.0,,,,13.0,,,,,13.0,
1482,6.0,,,,11.0,,1.0,,,9.0,12.0
1483,3.0,,,,9.0,,,,,9.0,11.0
1488,3.0,,,,9.0,,,,,10.0,
1489,8.0,,,,31.0,,2.0,,,26.0,
1496,4.0,,,,4.0,,,,,3.0,2.0
1498,3.0,,,,10.0,,2.0,,,6.0,3.0
1501,2.0,,,,9.0,,,,1.0,8.0,9.0
1503,14.0,,,,42.0,2.0,,,1.0,40.0,46.0
1519,,,,,1.0,,,,,2.0,3.0
1524,2.0,,,,9.0,,,,,9.0,
1530,1.0,,,,3.0,,,,1.0,5.0,5.0
1535,7.0,,,,19.0,,9.0,,,14.0,
1539,2.0,,,,4.0,,,,,2.0,9.0
1557,1.0,,,,7.0,,11.0,,,8.0,12.0
1566,3.0,,,,10.0,,12.0,,,9.0,16.0
1567,,,,,2.0,,10.0,,,4.0,1.0
1569,,,,,2.0,,,,,2.0,1.0
1574,2.0,,,,7.0,,,,,6.0,7.0
1579,3.0,,,,7.0,2.0,,,,6.0,7.0
1581,,1.0,,,1.0,,1.0,,1.0,2.0,2.0
1584,3.0,,,,4.0,,,,,5.0,5.0
1596,5.0,2.0,,,8.0,3.0,1.0,,,8.0,1.0
1603,1.0,,,,5.0,,2.0,,,4.0,10.0
1604,,,,,,,1.0,,,,1.0
1607,3.0,,,,17.0,,,,,14.0,20.0
1610,2.0,,,,7.0,,1.0,,1.0,6.0,2.0
1612,7.0,,,,18.0,1.0,1.0,,,14.0,7.0
1621,1.0,,,,7.0,,11.0,14.0,,4.0,2.0
1623,4.0,,,,9.0,,,,,9.0,1.0
1630,4.0,,,,20.0,2.0,,,5.0,19.0,22.0
1632,8.0,,,,16.0,4.0,,,,16.0,14.0
1637,3.0,,,,10.0,,,,,7.0,3.0
1659,9.0,1.0,,,40.0,2.0,1.0,,,34.0,66.0
1671,6.0,,,,19.0,,,,2.0,9.0,27.0
1681,1.0,,,,5.0,,912.0,,,4.0,8.0
1684,1.0,,,,7.0,,3.0,,,7.0,11.0
1694,1.0,,,,2.0,,,,,,
1695,3.0,,,,6.0,,,,,5.0,8.0
1699,,7.0,,,2.0,,9.0,,,2.0,
1715,3.0,,,,12.0,,1.0,,,7.0,4.0
1724,3.0,,,,3.0,,5.0,,,3.0,7.0
1730,,,,,2.0,,5.0,,,2.0,
1739,2.0,2.0,,,12.0,,2.0,,,14.0,8.0
1741,5.0,2.0,,,16.0,,28.0,1.0,,12.0,
1749,33.0,,,,103.0,1.0,,,4.0,91.0,121.0
1751,1.0,,,,5.0,,4.0,,,4.0,8.0
1754,2.0,,,,12.0,2.0,7.0,,,10.0,
1775,4.0,,,,9.0,,,,1.0,7.0,
1776,2.0,,,,11.0,,,,,10.0,23.0
1808,2.0,7.0,,,12.0,2.0,41.0,,1.0,11.0,16.0
1812,2.0,,,,14.0,,1.0,,,13.0,9.0
1817,,13.0,,,2.0,,28.0,,,4.0,1.0
1828,,,,,4.0,1.0,1.0,,1.0,4.0,6.0
1831,1.0,,,,3.0,,39.0,,,2.0,
1832,2.0,,,,9.0,,2.0,,,8.0,10.0
1833,4.0,1.0,,,7.0,,2.0,,1.0,10.0,
1834,3.0,,,,12.0,,,,,14.0,
1846,1.0,,,,14.0,,,,,11.0,3.0
1849,,,,,3.0,,,,,3.0,2.0
1856,6.0,,,,14.0,2.0,1.0,,,13.0,
1857,2.0,,,,12.0,,,,,11.0,15.0
1861,2.0,,,,12.0,,1.0,,2.0,13.0,
1867,5.0,,,,14.0,,16.0,,,16.0,23.0
1879,3.0,,,,11.0,,,,,8.0,11.0
1883,5.0,,,,9.0,,1.0,,,8.0,17.0
1888,2.0,,,,4.0,,46.0,,,3.0,8.0
1892,2.0,,,,6.0,,1.0,,1.0,9.0,16.0
1901,2.0,,,,9.0,,,,,8.0,
1906,5.0,,,,7.0,,,,,5.0,6.0
1911,2.0,,,,10.0,,72.0,,,6.0,1.0
1913,,,,,2.0,,,,,1.0,
1916,2.0,,,,3.0,,1.0,,1.0,2.0,5.0
1917,2.0,,,,4.0,,,,,3.0,8.0
1936,1.0,,,,13.0,3.0,3.0,,,11.0,7.0
1939,1.0,,,,6.0,,,,,5.0,4.0
1944,1.0,,,,6.0,,,,,4.0,8.0
1948,5.0,2.0,,,19.0,,1.0,,,21.0,20.0
1949,,,,,3.0,,,,,1.0,4.0
1958,3.0,2.0,,,9.0,,62.0,1.0,,6.0,
1963,12.0,,,,25.0,,,,2.0,24.0,
1964,1.0,,,,8.0,,,,,7.0,9.0
1967,3.0,5.0,,,16.0,,92.0,,,16.0,4.0
1977,,,,,3.0,,,,,8.0,10.0
1982,2.0,,,,4.0,,3.0,,1.0,8.0,11.0
1993,4.0,,,,12.0,,2.0,,,11.0,12.0
1998,2.0,,,,4.0,,,,,3.0,4.0
2001,4.0,,,,9.0,,2.0,,,10.0,2.0
2008,3.0,,,,13.0,,4.0,,,13.0,22.0
2009,1.0,,,,4.0,,3.0,,,4.0,3.0
2020,3.0,1.0,,,1.0,,708.0,,1.0,1.0,
2024,,,,,11.0,,,,2.0,10.0,11.0
2028,1.0,,,,4.0,,,,,8.0,5.0
2030,3.0,,,,13.0,,,,4.0,39.0,32.0
2040,1.0,,,,9.0,,3.0,,,8.0,14.0
2042,3.0,,,,19.0,,,,,25.0,5.0
2043,,,,,2.0,,,,1.0,3.0,4.0
2046,7.0,,,,26.0,,,,1.0,24.0,7.0
2053,,,,,2.0,,36.0,,,3.0,3.0
2057,3.0,1.0,,,7.0,,38.0,,1.0,11.0,2.0
2069,1.0,,,,3.0,,7.0,,,6.0,5.0
2076,2.0,,,,8.0,,,,1.0,7.0,11.0
2077,,,,,1.0,,21.0,,,2.0,
2078,1.0,,,,3.0,,,,,3.0,4.0
2104,,,,,3.0,,1.0,,,7.0,
2109,3.0,,,,6.0,,,,,9.0,7.0
2115,1.0,,,,10.0,,37.0,,,11.0,18.0
2130,1.0,,,,14.0,,1.0,,,14.0,4.0
2131,1.0,,,,8.0,,,,,5.0,12.0
2137,1.0,2.0,,,17.0,,61.0,,,16.0,20.0
2148,1.0,,,,11.0,,1.0,,,11.0,10.0
2151,2.0,,,,11.0,,,,,12.0,13.0
2152,,,,,3.0,,,,,4.0,
2164,1.0,,,,5.0,,,,,5.0,5.0
2172,1.0,,,,7.0,4.0,,,2.0,8.0,9.0
2181,3.0,,,,1.0,,3.0,,,4.0,5.0
2184,1.0,,,,6.0,,1.0,,1.0,13.0,
2190,2.0,,,,17.0,,1.0,,,20.0,13.0
2196,,,,,,,,,,1.0,
2200,1.0,,,,19.0,,22.0,,1.0,16.0,3.0
2203,2.0,,,,13.0,,,,1.0,12.0,8.0
2206,,,,,3.0,,1.0,,,8.0,2.0
2208,,,,,9.0,,,,,5.0,17.0
2217,3.0,1.0,3.0,,8.0,,5.0,,,7.0,8.0
2218,1.0,,,,10.0,,1.0,,,12.0,1.0
2224,,,,,1.0,,,,,2.0,7.0
2230,2.0,1.0,,,6.0,,1.0,,,12.0,19.0
2236,,,,,1.0,2.0,,,,1.0,4.0
2238,2.0,,,,14.0,,4.0,,,16.0,
2242,6.0,,,,40.0,,352.0,,,35.0,42.0
2245,2.0,6.0,,,5.0,3.0,4.0,,,5.0,14.0
2252,,,,,4.0,,,,,3.0,5.0
2257,1.0,,,,5.0,1.0,2.0,,,6.0,6.0
2260,1.0,,,,4.0,,,,,7.0,12.0
2265,2.0,,,,5.0,,12.0,,,9.0,9.0
2270,,,,,2.0,,57.0,,,2.0,3.0
2272,3.0,,,,11.0,,1.0,,,8.0,6.0
2277,1.0,,,,5.0,,1.0,,,6.0,8.0
2283,,,,,7.0,,,,,12.0,11.0
2286,,,,,1.0,,,,,4.0,5.0
2304,,,,,1.0,,1.0,,1.0,3.0,
2313,6.0,,,,11.0,,,,,12.0,16.0
2324,2.0,,,,11.0,,285.0,,,11.0,3.0
2349,,,,,2.0,,,,,2.0,
2362,2.0,,,,11.0,,,,,6.0,12.0
2365,1.0,,,,7.0,,3.0,,,6.0,5.0
2370,2.0,,,,8.0,,,,,8.0,10.0
2372,,,,,2.0,,,,1.0,3.0,4.0
2375,,,,,5.0,,,,,4.0,1.0
2384,,,,,5.0,,,,,5.0,2.0
2391,1.0,,,,12.0,,,,,9.0,11.0
2395,,3.0,,,12.0,2.0,66.0,,,12.0,14.0
2397,1.0,,,,2.0,,,,,3.0,2.0
2403,,6.0,,,19.0,,421.0,,,13.0,2.0
2407,2.0,,,,29.0,,9.0,,3.0,30.0,43.0
2409,3.0,,,,2.0,,32.0,,,13.0,8.0
2419,5.0,,,,7.0,,,,,7.0,
2439,5.0,,,,7.0,,59.0,,,6.0,1.0
2440,,2.0,,,,2.0,89.0,,,,1.0
2443,,,,,3.0,,2.0,,,3.0,1.0
2444,,,,,5.0,,,,1.0,5.0,4.0
2445,,,,,9.0,,,,1.0,9.0,11.0
2450,1.0,22.0,,,6.0,,1.0,,,8.0,9.0
2451,1.0,,,,5.0,,1.0,,,4.0,6.0
2478,2.0,2.0,,,7.0,,6.0,,,9.0,10.0
2481,2.0,,,,17.0,,,,,17.0,20.0
2482,1.0,,,,12.0,,50.0,,,16.0,14.0
2501,,,,,,,42.0,,,3.0,
2504,,,,,2.0,,7.0,,,4.0,7.0
2510,,,,,12.0,,2.0,,1.0,12.0,
2511,2.0,4.0,,,7.0,,4.0,,,5.0,7.0
2523,2.0,,,,10.0,,2.0,,,15.0,4.0
2525,,,,,1.0,,,,,4.0,5.0
2535,1.0,,,,4.0,,,,,9.0,10.0
2536,1.0,,,,15.0,,,,,20.0,21.0
2555,,,,,3.0,,,,,9.0,5.0
2557,3.0,,,,14.0,,,,,17.0,21.0
2559,1.0,,,,6.0,,18.0,,,6.0,2.0
2564,,,,,1.0,,,,,3.0,11.0
2565,,,,,1.0,,,,,2.0,2.0
2598,1.0,,,,3.0,3.0,,,,4.0,4.0
2626,,,,,9.0,,57.0,,4.0,9.0,2.0
2630,1.0,,,,4.0,,41.0,,1.0,5.0,
2634,,,,,11.0,2.0,1.0,,,9.0,13.0
2637,2.0,,,,8.0,,21.0,,2.0,8.0,
2641,1.0,,,,9.0,4.0,1.0,,,7.0,4.0
2653,,,,,10.0,,,,,10.0,13.0
2667,2.0,,,,1.0,,,,1.0,7.0,
2669,2.0,1.0,,,10.0,,73.0,,,8.0,12.0
2670,,,,,2.0,,,,1.0,4.0,3.0
2674,1.0,,,,4.0,,1.0,,,4.0,5.0
2676,1.0,,,,5.0,,3.0,,,6.0,
2678,1.0,,,,5.0,,2.0,,,4.0,
2687,,,,,,1.0,,,,1.0,1.0
2725,,,,,4.0,,,,,2.0,8.0
2726,,1.0,,,,,,,,,
2730,1.0,,,,5.0,,15.0,,,9.0,
2734,,,,,4.0,,22.0,,,7.0,
2736,1.0,,,,3.0,,1.0,,,3.0,
2740,2.0,,,,10.0,,,,,10.0,1.0
2743,2.0,,,,11.0,,3.0,,,8.0,
2750,3.0,1.0,,,8.0,,42.0,,,7.0,
2755,,3.0,,,3.0,,8.0,,,5.0,7.0
2758,5.0,,,,17.0,,1.0,,,18.0,16.0
2772,1.0,,,,4.0,,,,,12.0,
2777,,14.0,,,,,1.0,,,2.0,3.0
2780,1.0,,,,2.0,,,,,5.0,3.0
2784,1.0,,,,4.0,,,,,4.0,7.0
2786,,,,,2.0,,,,,3.0,1.0
2792,,,,,,,13.0,,1.0,1.0,1.0
2798,1.0,,,,6.0,,29.0,,,10.0,
2805,,,,,1.0,,,,,4.0,
2809,2.0,,,,6.0,,,,1.0,8.0,
2811,2.0,1.0,,,3.0,,18.0,,,5.0,2.0
2812,1.0,,,,5.0,,1.0,,,5.0,4.0
2813,2.0,,,,5.0,,2.0,,,6.0,2.0
2833,,,,,5.0,,1.0,,,8.0,15.0
2839,,,,,1.0,,22.0,,,5.0,10.0
2844,1.0,1.0,,,1.0,,856.0,,,1.0,
2848,1.0,,,,1.0,,1.0,,,3.0,3.0
2851,1.0,,,,9.0,,14.0,,,21.0,
2860,1.0,,,,4.0,4.0,,,,14.0,9.0
2863,,6.0,,,4.0,,31.0,,5.0,3.0,
2866,3.0,1.0,,,14.0,,34.0,2.0,,15.0,
2869,,1.0,,,1.0,,1.0,,3.0,2.0,
2872,1.0,,,,6.0,8.0,,,,16.0,3.0
2875,,,,,1.0,,,,,4.0,2.0
2882,,,,,4.0,2.0,,,,7.0,9.0
2907,,,,,6.0,,,,,4.0,7.0
2910,,,,,,,2.0,,,1.0,
2917,,,,,,,5.0,,,,2.0
2923,,,,,,,,,,,
2935,,14.0,,,9.0,,114.0,,2.0,18.0,
2938,1.0,,,,2.0,,29.0,,,6.0,
2950,,,,,5.0,2.0,,,,5.0,7.0
2951,1.0,7.0,,,8.0,,865.0,,,8.0,9.0
2963,1.0,,,,3.0,,1.0,,,5.0,3.0
2964,,,,,5.0,,1.0,,,4.0,6.0
2975,,,,,6.0,,,,,7.0,10.0
2978,2.0,1.0,,,22.0,,18.0,,,21.0,
2981,,,,,3.0,,,,,3.0,2.0
2996,,,,,2.0,,22.0,,,2.0,9.0
2999,1.0,,,,3.0,,1.0,,,5.0,
3005,1.0,3.0,,,3.0,,2.0,,,4.0,
3007,1.0,9.0,,,7.0,,72.0,,,7.0,9.0
3011,1.0,,,,3.0,,4.0,,,3.0,3.0
