,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
3,8.0,,,,12.0,3.0,,,,10.0,18.0
5,27.0,4.0,,,41.0,3.0,1.0,,,33.0,60.0
7,21.0,,,,23.0,,7.0,,,26.0,47.0
11,26.0,,,,61.0,,,,1.0,56.0,68.0
12,1.0,,,,5.0,,,,,5.0,6.0
13,19.0,,,,26.0,4.0,1.0,,1.0,20.0,31.0
31,,,,,2.0,,,,,3.0,4.0
36,6.0,,,,10.0,,3.0,,1.0,5.0,13.0
47,36.0,,,,61.0,,3.0,,1.0,43.0,63.0
48,22.0,,,,35.0,,,,1.0,34.0,44.0
49,82.0,,,,132.0,15.0,1.0,6.0,,136.0,2.0
51,,,,,2.0,,2.0,,,3.0,5.0
65,24.0,1.0,,,50.0,2.0,9.0,,2.0,38.0,66.0
67,15.0,,,,15.0,,,,,13.0,19.0
68,5.0,,,,14.0,,,,3.0,11.0,11.0
70,7.0,,,,19.0,,8.0,,,17.0,22.0
78,6.0,,,,12.0,3.0,2.0,,1.0,10.0,15.0
93,3.0,,,,7.0,,,,,7.0,8.0
102,15.0,,,,21.0,,,,,16.0,32.0
105,2.0,,,,4.0,,,,,1.0,4.0
109,28.0,,,,40.0,2.0,1.0,,,45.0,36.0
116,12.0,,,,14.0,,3.0,,1.0,11.0,24.0
117,13.0,,,,20.0,,,,,18.0,20.0
133,5.0,,,,14.0,,5.0,,,11.0,18.0
160,10.0,,,,13.0,,3.0,,,16.0,22.0
170,8.0,,,,14.0,,4.0,,,12.0,9.0
171,6.0,,,,10.0,,,,,9.0,9.0
173,14.0,,,,20.0,,,,,15.0,25.0
178,13.0,,,,18.0,,,,1.0,12.0,20.0
181,6.0,,,,8.0,,,,,10.0,15.0
183,16.0,1.0,,,15.0,3.0,1.0,,,6.0,26.0
184,3.0,,,,6.0,,3.0,,,5.0,8.0
190,8.0,,,,18.0,1.0,,,,19.0,15.0
205,38.0,,,,76.0,,,,1.0,55.0,86.0
218,11.0,,,,11.0,,6.0,,,10.0,13.0
220,3.0,,,,8.0,,,,,9.0,1.0
230,10.0,,,,21.0,,5.0,,,20.0,31.0
231,9.0,,,,23.0,1.0,,,1.0,20.0,20.0
247,2.0,,,,5.0,2.0,,,,8.0,11.0
248,21.0,,,,25.0,,13.0,,,22.0,36.0
260,22.0,,,,34.0,,2.0,,,29.0,51.0
269,20.0,,,,27.0,,,,1.0,23.0,47.0
278,1.0,,,,2.0,,,,,1.0,3.0
288,8.0,,,,13.0,,,,,12.0,16.0
290,9.0,,,,10.0,,3.0,,,11.0,26.0
291,35.0,,,,35.0,2.0,2.0,,1.0,32.0,58.0
299,13.0,,,,23.0,,11.0,,,23.0,31.0
306,6.0,,,,14.0,,,,,11.0,13.0
311,27.0,,,,32.0,,,,2.0,37.0,5.0
312,14.0,,,,19.0,,,,1.0,20.0,28.0
321,,,,,1.0,,3.0,,2.0,1.0,2.0
324,7.0,,,,9.0,,,,,8.0,13.0
327,9.0,,,,13.0,,,,,15.0,12.0
329,3.0,,,,11.0,,1.0,,2.0,7.0,11.0
333,13.0,,,,22.0,,10.0,,1.0,22.0,22.0
334,7.0,,,,11.0,,,,,9.0,9.0
336,11.0,,,,9.0,,2.0,,1.0,9.0,13.0
337,4.0,,,,7.0,,,,,7.0,8.0
348,20.0,2.0,,,33.0,,1.0,,9.0,41.0,46.0
354,13.0,1.0,,,25.0,,1.0,,1.0,26.0,31.0
358,4.0,,,,9.0,2.0,,,,8.0,11.0
362,11.0,1.0,,,24.0,1.0,6.0,,2.0,16.0,32.0
367,9.0,,,,14.0,,,,1.0,10.0,15.0
378,2.0,,,,4.0,,3.0,,,4.0,4.0
380,,,,,2.0,2.0,,,,2.0,1.0
400,12.0,,,,26.0,,1.0,,,22.0,27.0
411,1.0,,,,1.0,,,,1.0,2.0,3.0
421,3.0,,,,4.0,,,,,6.0,11.0
422,29.0,,,,51.0,,4.0,,,42.0,58.0
425,9.0,,,,16.0,,,,,13.0,23.0
426,3.0,,,,9.0,,,,2.0,8.0,9.0
429,3.0,,,,11.0,,,,,6.0,10.0
435,2.0,2.0,,,15.0,,2.0,,1.0,12.0,17.0
444,10.0,,,,19.0,4.0,,,,16.0,21.0
458,21.0,,,,60.0,2.0,66.0,,,58.0,72.0
459,5.0,,,,21.0,5.0,,,,19.0,17.0
461,65.0,,,,108.0,18.0,2.0,,1.0,105.0,128.0
467,1.0,,,,2.0,,,,,3.0,1.0
471,154.0,1.0,2.0,,212.0,4.0,3.0,,1.0,238.0,379.0
473,8.0,,,,18.0,1.0,,,2.0,24.0,27.0
481,8.0,,,,11.0,1.0,,,,17.0,22.0
482,9.0,2.0,,,14.0,1.0,1.0,,,16.0,19.0
498,11.0,,,,36.0,,1.0,,,32.0,53.0
499,44.0,,,,73.0,,,,,51.0,90.0
505,8.0,,,,23.0,5.0,1.0,,,25.0,37.0
508,1.0,,,,4.0,,2.0,,,4.0,4.0
518,3.0,,,,6.0,,,,,4.0,8.0
522,6.0,,,,12.0,,,,3.0,13.0,7.0
523,20.0,,,,64.0,,1.0,,4.0,56.0,71.0
534,33.0,,,,73.0,,,,2.0,59.0,87.0
537,10.0,,,,24.0,,,,,22.0,33.0
542,3.0,,,,6.0,,,,,5.0,10.0
558,14.0,,,,16.0,3.0,,,,15.0,19.0
569,20.0,,,,57.0,,2.0,,2.0,46.0,64.0
590,26.0,45.0,,,31.0,1.0,133.0,2.0,1.0,34.0,39.0
592,22.0,,,,29.0,,2.0,,3.0,30.0,38.0
594,18.0,,,,36.0,,,,,31.0,46.0
603,1.0,,,,12.0,,,,5.0,15.0,18.0
626,10.0,,,,41.0,,2.0,,,41.0,39.0
631,22.0,1.0,,,52.0,2.0,1.0,,2.0,52.0,60.0
632,7.0,,,,15.0,,,,,12.0,23.0
633,18.0,,,,33.0,,,,1.0,29.0,39.0
640,4.0,,,,5.0,,,,,3.0,9.0
647,3.0,,,,11.0,6.0,,,,9.0,11.0
658,2.0,,,,2.0,,,,,1.0,4.0
662,,,,,3.0,,90.0,,,6.0,8.0
666,7.0,,,,13.0,,,,,13.0,16.0
668,10.0,,,,13.0,,,,2.0,10.0,1.0
675,17.0,1.0,,,27.0,3.0,1.0,,3.0,31.0,49.0
699,4.0,,,,6.0,,,,2.0,9.0,8.0
704,23.0,,,,28.0,,,,,25.0,31.0
708,1.0,,,,5.0,,1.0,,,6.0,5.0
710,4.0,,,,8.0,,1.0,1.0,,9.0,8.0
712,4.0,,,,8.0,,1.0,,,6.0,10.0
723,12.0,,,,22.0,3.0,,,,24.0,33.0
726,16.0,,,,41.0,2.0,,,4.0,34.0,52.0
731,19.0,2.0,,,38.0,2.0,7.0,4.0,2.0,27.0,44.0
736,11.0,,,,13.0,,,,,12.0,16.0
744,7.0,,,,12.0,,5.0,,,12.0,14.0
745,6.0,,,,14.0,,,,,12.0,17.0
747,21.0,3.0,,,68.0,1.0,1.0,,5.0,57.0,85.0
757,8.0,,,,11.0,4.0,,,,9.0,25.0
759,4.0,1.0,,,8.0,3.0,1.0,,,6.0,13.0
762,21.0,,,,50.0,,,,1.0,41.0,64.0
768,8.0,,,,9.0,,,,,12.0,17.0
776,8.0,,,,13.0,,2.0,,,11.0,10.0
778,7.0,,,,15.0,,3.0,,,10.0,22.0
780,6.0,,,,10.0,,1.0,,3.0,9.0,19.0
782,2.0,,,,12.0,,,,,12.0,7.0
785,16.0,,,,41.0,,1.0,,2.0,33.0,28.0
790,15.0,,,,30.0,,,,,17.0,43.0
792,24.0,,,,21.0,,,,,18.0,35.0
800,9.0,,,,9.0,2.0,,,,8.0,12.0
801,8.0,,,,15.0,,,,3.0,11.0,18.0
802,1.0,,,,3.0,,1.0,,,1.0,5.0
806,3.0,,,,5.0,,,,,5.0,4.0
808,11.0,,,,35.0,,,,1.0,31.0,41.0
813,9.0,,,,7.0,4.0,,,,7.0,9.0
822,7.0,,,,18.0,,,,,13.0,
824,8.0,,,,20.0,,,,,21.0,19.0
825,1.0,,,,3.0,,,,,3.0,4.0
828,12.0,,,,22.0,3.0,,,,21.0,1.0
844,4.0,,,,8.0,,,,1.0,5.0,6.0
845,9.0,,,,13.0,,,,,9.0,20.0
857,7.0,,,,20.0,,,,,18.0,32.0
861,3.0,,,,19.0,,1.0,,,16.0,25.0
862,3.0,,,,6.0,,,,,7.0,2.0
863,2.0,,,,9.0,,,,1.0,11.0,1.0
868,3.0,6.0,,,14.0,,2.0,,,12.0,18.0
882,2.0,,,,5.0,,,,,6.0,2.0
884,6.0,,,,14.0,,6.0,,,12.0,18.0
886,11.0,,,,31.0,,,,1.0,22.0,38.0
905,3.0,,,,9.0,,,,,7.0,10.0
924,6.0,,,,12.0,,1.0,,,12.0,15.0
926,8.0,,,,20.0,,4.0,,,18.0,26.0
932,1.0,1.0,,,3.0,,14.0,,2.0,3.0,3.0
943,6.0,,,,6.0,2.0,7.0,,,5.0,10.0
947,16.0,,,,37.0,7.0,,,,35.0,27.0
951,2.0,,,,10.0,3.0,,,,7.0,11.0
953,12.0,,,,24.0,2.0,,,,16.0,29.0
960,2.0,,,,13.0,,,,,15.0,19.0
961,10.0,21.0,,,15.0,,19.0,,1.0,8.0,3.0
966,7.0,,,,14.0,,,,,12.0,18.0
967,3.0,,,,10.0,2.0,,,,12.0,11.0
969,2.0,,,,5.0,,,,,6.0,11.0
971,12.0,,,,19.0,,,,,13.0,19.0
983,14.0,,,,20.0,,,,,21.0,34.0
994,5.0,,,,18.0,2.0,,,,14.0,2.0
996,3.0,,,,10.0,,1.0,,,11.0,12.0
999,5.0,,,,14.0,,,,,12.0,7.0
1004,5.0,,,,16.0,,,,,15.0,24.0
1008,5.0,,,,15.0,1.0,1.0,,,15.0,21.0
1020,,,,,5.0,,,,,4.0,6.0
1030,22.0,,,,36.0,,4.0,,,31.0,50.0
1064,2.0,,,,6.0,,10.0,,,6.0,1.0
1067,1.0,,,,2.0,2.0,1.0,,,2.0,2.0
1071,10.0,,,,18.0,,,,,15.0,25.0
1074,,,,,3.0,,,,,5.0,4.0
1084,3.0,,,,8.0,,,,,8.0,6.0
1085,,,,,2.0,,1.0,,,2.0,5.0
1086,14.0,,,,20.0,,,,,17.0,19.0
1096,2.0,,,,6.0,1.0,2.0,,,8.0,14.0
1098,6.0,,,,12.0,2.0,,,,12.0,13.0
1102,15.0,,,,35.0,2.0,8.0,,4.0,23.0,14.0
1104,5.0,,,,15.0,,8.0,,4.0,8.0,23.0
1119,3.0,,,,5.0,2.0,5.0,,,6.0,6.0
1120,5.0,,,,9.0,,,,,8.0,2.0
1123,5.0,,,,16.0,,,,3.0,15.0,18.0
1133,3.0,,,,11.0,,7.0,,,9.0,5.0
1149,2.0,,,,8.0,,,,,7.0,9.0
1157,4.0,,,,11.0,,9.0,,,11.0,7.0
1160,1.0,,,,3.0,,1.0,,,3.0,3.0
1169,7.0,,,,13.0,,,,,11.0,22.0
1179,19.0,,,,43.0,3.0,,,3.0,38.0,66.0
1180,1.0,,,,9.0,,,,,11.0,2.0
