,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
569.0,20.0,,,2.0,36.0,,0.0,,2.0,30.0,47.0
590.0,26.0,132.0,,2.0,16.0,1.0,0.0,45.0,1.0,18.0,
592.0,22.0,,,,21.0,,0.0,,3.0,23.0,28.0
594.0,18.0,,,,22.0,,0.0,,,19.0,35.0
603.0,1.0,,,,8.0,,0.0,,5.0,10.0,12.0
626.0,10.0,1.0,,,25.0,,0.0,,,28.0,28.0
631.0,22.0,1.0,,1.0,33.0,2.0,0.0,,2.0,37.0,44.0
632.0,7.0,,,,8.0,,0.0,,,6.0,14.0
633.0,18.0,,,,16.0,,0.0,,1.0,11.0,23.0
640.0,4.0,,,,5.0,,0.0,,,1.0,8.0
647.0,3.0,,,,4.0,6.0,0.0,,,3.0,7.0
658.0,2.0,,,,1.0,,0.0,,,1.0,4.0
662.0,,90.0,,,1.0,,0.0,,,2.0,1.0
666.0,7.0,,,,12.0,,0.0,,,13.0,14.0
668.0,10.0,,,,11.0,,0.0,,2.0,8.0,1.0
675.0,17.0,1.0,1.0,,18.0,3.0,0.0,,2.0,23.0,40.0
699.0,4.0,,,,4.0,,0.0,,2.0,6.0,6.0
704.0,23.0,,,,21.0,,0.0,,,17.0,30.0
708.0,1.0,,,1.0,,,0.0,,,,1.0
710.0,4.0,,,1.0,5.0,,0.0,1.0,,7.0,4.0
712.0,4.0,1.0,,,5.0,,0.0,,,6.0,8.0
723.0,12.0,,,,21.0,3.0,0.0,,,18.0,25.0
726.0,16.0,,,,30.0,2.0,0.0,,4.0,23.0,35.0
731.0,19.0,7.0,,4.0,29.0,2.0,0.0,2.0,2.0,22.0,30.0
736.0,11.0,,,,11.0,,0.0,,,10.0,11.0
744.0,7.0,,,5.0,12.0,,0.0,,,12.0,12.0
745.0,6.0,,,,8.0,,0.0,,,7.0,9.0
747.0,21.0,1.0,,3.0,44.0,1.0,0.0,,4.0,41.0,52.0
757.0,8.0,,,,7.0,4.0,0.0,,,7.0,19.0
759.0,4.0,1.0,,1.0,5.0,3.0,0.0,,,4.0,9.0
762.0,21.0,,,,34.0,,0.0,,1.0,30.0,42.0
768.0,8.0,,,,9.0,,0.0,,,10.0,13.0
776.0,8.0,2.0,,,9.0,,0.0,,,7.0,5.0
778.0,7.0,,,3.0,14.0,,0.0,,,10.0,16.0
780.0,6.0,1.0,,,6.0,,0.0,,3.0,5.0,12.0
782.0,2.0,,,,8.0,,0.0,,,8.0,4.0
785.0,16.0,,,1.0,28.0,,0.0,,2.0,23.0,17.0
790.0,15.0,,,,19.0,,0.0,,,14.0,31.0
792.0,24.0,,,,13.0,,0.0,,,11.0,22.0
800.0,9.0,,,,7.0,2.0,0.0,,,8.0,10.0
801.0,8.0,,,,12.0,,0.0,,3.0,10.0,14.0
802.0,1.0,,,,1.0,,0.0,,,,2.0
806.0,3.0,,,,4.0,,0.0,,,3.0,3.0
808.0,11.0,,,,20.0,,0.0,,1.0,20.0,29.0
813.0,9.0,,,,4.0,4.0,0.0,,,4.0,7.0
822.0,7.0,,,,10.0,,0.0,,,8.0,
824.0,8.0,,,,12.0,,0.0,,,12.0,6.0
825.0,1.0,,,,2.0,,0.0,,,2.0,3.0
828.0,12.0,,,,15.0,3.0,0.0,,,16.0,
844.0,4.0,,,,6.0,,0.0,,1.0,5.0,4.0
845.0,9.0,,,,12.0,,0.0,,,9.0,16.0
857.0,7.0,,,,13.0,,0.0,,,11.0,21.0
861.0,3.0,1.0,,,8.0,,0.0,,,8.0,12.0
862.0,3.0,,,,2.0,,0.0,,,2.0,2.0
863.0,2.0,,,,4.0,,0.0,,1.0,5.0,
868.0,3.0,2.0,,6.0,8.0,,0.0,,,7.0,10.0
882.0,2.0,,,,4.0,,0.0,,,3.0,1.0
884.0,6.0,,,6.0,8.0,,0.0,,,6.0,13.0
886.0,11.0,,,,22.0,,0.0,,1.0,19.0,28.0
905.0,3.0,,,,6.0,,0.0,,,6.0,9.0
924.0,6.0,1.0,,,6.0,,0.0,,,5.0,12.0
926.0,8.0,,,4.0,15.0,,0.0,,,13.0,16.0
932.0,1.0,14.0,,1.0,2.0,,0.0,,2.0,2.0,2.0
943.0,6.0,,,7.0,6.0,2.0,0.0,,,5.0,9.0
947.0,16.0,,,,20.0,7.0,0.0,,,16.0,16.0
951.0,2.0,,,,3.0,3.0,0.0,,,2.0,8.0
953.0,12.0,,,,11.0,2.0,0.0,,,9.0,18.0
